Размер,Запуск,Время Python (сек),Время C++ (сек),Операций,Проверка,Макс. абс. погрешность,Средняя абс. погрешность,Макс. отн. погрешность,Средняя отн. погрешность
200,1,0.217316,0.088092,16000000,,,,,
200,2,0.201907,0.087553,16000000,,,,,
200,3,0.220623,0.088838,16000000,,,,,
200,СРЕДНЕЕ,0.213282,0.088161,16000000,OK,0,0.000000e+00,0.000000e+00,0.000000e+00
200,МИНИМУМ,0.201907,0.087553,16000000,,,,,
200,МАКСИМУМ,0.220623,0.088838,16000000,,,,,
400,1,1.328302,0.839624,128000000,,,,,
400,2,1.512349,0.949523,128000000,,,,,
400,3,0.937396,0.546799,128000000,,,,,
400,СРЕДНЕЕ,1.259349,0.778649,128000000,OK,0,0.000000e+00,0.000000e+00,0.000000e+00
400,МИНИМУМ,0.937396,0.546799,128000000,,,,,
400,МАКСИМУМ,1.512349,0.949523,128000000,,,,,
800,1,5.350786,4.075209,1024000000,,,,,
800,2,5.243825,4.019820,1024000000,,,,,
800,3,5.239857,4.064174,1024000000,,,,,
800,СРЕДНЕЕ,5.278156,4.053068,1024000000,OK,0,0.000000e+00,0.000000e+00,0.000000e+00
800,МИНИМУМ,5.239857,4.019820,1024000000,,,,,
800,МАКСИМУМ,5.350786,4.075209,1024000000,,,,,
1200,1,17.951137,14.835863,3456000000,,,,,
1200,2,22.404387,19.159047,3456000000,,,,,
1200,3,18.140781,15.273994,3456000000,,,,,
1200,СРЕДНЕЕ,19.498768,16.422968,3456000000,OK,0,0.000000e+00,0.000000e+00,0.000000e+00
1200,МИНИМУМ,17.951137,14.835863,3456000000,,,,,
1200,МАКСИМУМ,22.404387,19.159047,3456000000,,,,,
1600,1,45.381746,40.273434,8192000000,,,,,
1600,2,46.449412,41.283214,8192000000,,,,,
1600,3,46.058663,41.134958,8192000000,,,,,
1600,СРЕДНЕЕ,45.963274,40.897202,8192000000,OK,0,0.000000e+00,0.000000e+00,0.000000e+00
1600,МИНИМУМ,45.381746,40.273434,8192000000,,,,,
1600,МАКСИМУМ,46.449412,41.283214,8192000000,,,,,
2000,1,111.011290,103.158512,16000000000,,,,,
2000,2,102.047823,94.420468,16000000000,,,,,
2000,3,101.452205,93.713509,16000000000,,,,,
2000,СРЕДНЕЕ,104.837106,97.097496,16000000000,OK,0,0.000000e+00,0.000000e+00,0.000000e+00
2000,МИНИМУМ,101.452205,93.713509,16000000000,,,,,
2000,МАКСИМУМ,111.011290,103.158512,16000000000,,,,,
